,item_code,planned_qty
0,ABB-068,342
1,ABB-073,2382
2,ACR-032,365
3,ACR-034,340
4,ACR-036,665
5,ACR-038,325
6,ACS-165,795
7,ALB-754,723
8,ALB-756,3020
9,ALB-758,234
10,ASL-110,904
11,ASL-140,755
12,ASL-170,354
13,AST-055,795
14,AST-070,581
15,AXL-150,2575
16,BBB-030,11660
17,BBS-068,319
18,BBS-073,5312
19,BRK-134,215
20,BRK-135,140
21,BRK-202,1680
22,BRK-204,1870
23,BRK-402,430
24,BRK-404,430
25,CCS-170,723
26,CFC-150,7260
27,CFC-245,5920
28,CFC-416,840
29,CGS-001,400
30,CHN-511,61
31,CHN-512,1208
32,CHN-513,1418
33,CPC-120,1180
34,CPE-173,180
35,CPE-175,24
36,CPE-177,152
37,CPK-103,132
38,CPK-105,132
39,CPK-107,84
40,CPK-113,404
41,CPK-115,272
42,CPK-117,232
43,CPK-143,184
44,CPK-145,400
45,CPK-147,172
46,CPK-200,348
47,CPK-210,904
48,CPK-220,776
49,CPK-240,756
50,CPK-270,356
51,CPK-440,756
52,CPK-470,356
53,CSS-812,835
54,CSS-912,1045
55,CST-050,389
56,DCL-110,1320
57,DCL-140,1080
58,DCL-170,400
59,ENB-703,50
60,ENB-707,50
61,ENF-703,188
62,ENF-707,83
63,FHB-932,3648
64,FRK-429,675
65,FRK-727,326
66,FRK-729,297
67,FRK-829,165
68,GRF-003,138
69,GRF-005,138
70,GRF-007,87
71,GRK-000,364
72,GRS-110,2080
73,GRS-140,1895
74,GRS-170,540
75,GTP-100,390
76,HBG-100,2300
77,HBG-420,138
78,HBG-440,135
79,HBG-460,87
80,HBM-740,664
81,HBM-750,329
82,HBM-800,33
83,HSX-040,372
84,HSX-214,4510
85,MEC-813,850
86,MEC-913,1025
87,MIB-111,4050
88,MIB-112,7580
89,MIB-113,1920
90,MIB-114,360
91,MIB-115,4150
92,PBK-110,470
93,PBK-140,1870
94,PBK-170,2170
95,PCC-101,182
96,PDL-200,1210
97,RHB-732,1746
98,RHB-932,1910
99,RIM-127,1314
100,RIM-333,924
101,RIM-427,992
102,RIM-429,1054
103,RIM-700,746
104,SDL-147,1381
105,SDL-239,1170
106,SHX-410,675
107,SHX-708,440
108,SHX-709,420
109,SPD-080,1220
110,SPK-102,1650
111,SPK-105,1920
112,SPR-160,365
113,SPR-185,575
114,SPR-213,93
115,TAIDUC-001,35000
116,TAIDUC-002,5920
117,TBV-100,3540
118,TRB-403,94
119,TRB-405,80
120,TRB-407,88
121,TRF-403,191
122,TRF-405,252
123,TRF-407,128
124,TYR-170,702
125,TYR-229,1325
126,TYR-427,362
127,TYR-429,1316
128,TYR-727,228
129,TYR-729,202
130,TYR-827,228
131,TYR-829,202
132,WLS-127,515
133,WLS-427,311
134,WLS-429,339
135,WLS-723,230
136,XCB-103,129
137,XCB-107,195
138,XCF-103,319
139,XCF-105,178
140,XCF-107,238
